name,world_rank,teaching,num_students,student_staff_ratio,international_students,female_percent,year
University of Erlangen-Nuremberg,123,51.7,36146,53.9,9,49,2016
"Rutgers, the State University of New Jersey",123,43.9,37032,17.3,8,51,2016
University of M神nster,125,40.3,39838,46.1,8,53,2016
Radboud University Nijmegen,125,34.3,17713,13,10,58,2016
University of Colorado Boulder,127,39.7,29325,16.1,8,45,2016
Tufts University,127,45.2,10410,10,14,54,2016
"Royal Holloway, University of London",129,35.1,8747,15.9,37,57,2016
Lancaster University,130,34,11512,14.9,33,52,2016
University of Geneva,131,34.9,15668,15,39,61,2016
Case Western Reserve University,133,46.1,9259,6.4,17,48,2016
University of Leeds,133,43.7,27703,14.7,21,58,2016
Stockholm University,136,34.1,31715,23.7,8,62,2016
University of Alberta,137,46.4,36299,21.6,23,55,2016
Chinese University of Hong Kong,138,41.5,17916,10.2,22,53,2016
Karlsruhe Institute of Technology,138,37.7,25294,24.6,16,26,2016
University of Sussex,140,33.4,12001,17.4,35,54,2016
University of Massachusetts,141,40.2,56959,13,11,49,2016
University of Vienna,142,40.8,34651,20.5,25,67,2016
University of Nottingham,143,40.3,30144,15,27,54,2016
"University of California, Santa Cruz",144,31.1,17404,22.7,1,53,2016
Autonomous University of Barcelona,146,40.3,30538,12.3,10,59,2016
University of Virginia,147,38.8,23845,10.2,12,52,2016
University of Adelaide,149,32.8,20771,30.1,26,48,2016
University of East Anglia,149,31.9,14992,14.7,28,58,2016
University of Twente,149,34.1,6631,12,26,37,2016
Sungkyunkwan University (SKKU),153,51.4,24365,20.3,9,39,2016
VU University Amsterdam,154,28.4,23280,16.3,6,56,2016
KTH Royal Institute of Technology,155,39,12062,14.6,21,30,2016
University of Cologne,156,42.2,43280,43.4,11,60,2016
University of Liverpool,157,32.8,18815,13.6,30,52,2016
TU Dresden,158,41.4,35487,37.4,12,42,2016
University of Rochester,158,39.7,9390,4.5,26,49,2016
Trinity College Dublin,160,41.9,15521,18,25,57,2016
Lomonosov Moscow State University,161,75.4,30822,7.7,20,43,2016
University of Miami,161,41.7,15286,5.7,14,50,2016
University of Arizona,163,38.7,36429,12.7,8,52,2016
Pompeu Fabra University,164,32.9,10901,18.3,13,59,2016
University of Reading,164,39.3,12050,14.8,28,55,2016
Yeshiva University,164,44.8,6753,5.5,7,53,2016
"University of California, Riverside",167,27.5,20626,22,12,51,2016
University of Leicester,167,32.1,14541,13.4,35,54,2016
National Taiwan University,167,54.1,31891,11.9,7,39,2016
Technical University of Denmark,167,37.3,9990,5,18,27,2016
Universit姓 Catholique de Louvain,167,38.7,28856,42,19,54,2016
University of Aberdeen,172,29.7,12938,15.8,33,54,2016
University of Auckland,172,31.4,29787,18.9,28,54,2016
University of Barcelona,174,38.5,47491,12.2,10,62,2016
University of Konstanz,175,38.5,10930,59.1,12,54,2016
Hebrew University of Jerusalem,178,45.8,17612,10.7,5,55,2016
University of Waterloo,179,35.4,30726,24.2,14,45,2016
Scuola Superiore Sant__Anna,180,42.5,769,8.5,17,35,2016
University of Bergen,182,32.5,11623,11.1,12,60,2016
Cardiff University,182,30.9,23347,13.1,23,57,2016
University of Utah,182,35.6,25674,16.9,9,45,2016
Brandeis University,185,28.3,5495,12.6,22,55,2016
University of Dundee,185,25.6,11628,15.3,25,60,2016
University of W神rzburg,185,34.6,26576,38.4,8,57,2016
Arizona State University,189,32.4,83236,29.9,9,50,2016
University of Antwerp,190,31.6,12346,30.3,16,56,2016
Boston College,190,34.1,13216,17.4,19,54,2016
Ulm University,192,35.2,9187,11.2,10,47,2016
University of Luxembourg,193,25,5144,15.9,52,50,2016
Texas A&M University,193,49.4,50657,21.4,9,47,2016
Charit姓 - Universit神tsmedizin Berlin,195,37.3,6853,6.6,16,64,2016
Newcastle University,196,30.9,20174,15.2,29,50,2016
"St George__s, University of London",196,25.6,2958,13.4,17,61,2016
University of Trento,198,30.8,16841,43.2,8,51,2016
Paris Diderot University __ Paris 7,199,30.5,27756,14.8,17,63,2016
Queen__s University Belfast,200,34.1,17940,17.9,30,54,2016
