name,world_rank,teaching,num_students,student_staff_ratio,international_students,female_percent,year
University of Zurich,89,50,26583,6.5,19,57,2013
University of Colorado Boulder,91,42.3,29325,16.1,8,45,2013
Ghent University,93,46.4,32166,34.1,9,57,2013
Michigan State University,94,51.8,44750,15.7,15,51,2013
University of Notre Dame,94,48.3,11829,13.8,10,44,2013
"University of California, Irvine",96,44,26614,16.1,16,52,2013
"University of Maryland, College Park",97,44.9,31331,8.4,9,48,2013
University of Arizona,98,47,36429,12.7,8,52,2013
Monash University,99,47.8,50882,40.5,36,56,2013
"Rutgers, the State University of New Jersey",99,50.9,37032,17.3,8,51,2013
University of Rochester,102,46,9390,4.5,26,49,2013
Case Western Reserve University,104,56.5,9259,6.4,17,48,2013
Technical University of Munich,105,51.2,35565,31.5,20,33,2013
Uppsala University,106,48.6,25266,18.2,12,57,2013
Vanderbilt University,106,51.5,12161,3.6,10,52,2013
University of St Andrews,108,43.2,8338,12.7,47,56,2013
University of Helsinki,109,42.8,23505,15.1,6,66,2013
Trinity College Dublin,110,41.9,15521,18,25,57,2013
University of Sheffield,110,49.5,23311,15.5,31,50,2013
University of Sussex,110,34.9,12001,17.4,35,54,2013
University of Cape Town,113,34.7,20040,12.1,18,53,2013
Maastricht University,115,39.7,15626,18.9,48,56,2013
Aarhus University,116,35.7,23895,13.6,14,54,2013
Stockholm University,117,31.3,31715,23.7,8,62,2013
University of Virginia,118,55.9,23845,10.2,12,52,2013
"Royal Holloway, University of London",119,30.5,8747,15.9,37,57,2013
University of Nottingham,120,48.1,30144,15,27,54,2013
University of Alberta,121,50.9,36299,21.6,23,55,2013
"University of California, Santa Cruz",122,32.1,17404,22.7,1,53,2013
University of Florida,122,52,50095,18.7,9,54,2013
Chinese University of Hong Kong,124,53.7,17916,10.2,22,53,2013
Dartmouth College,124,47.5,6178,6.6,16,47,2013
University of Warwick,124,48.9,18529,16.6,37,48,2013
Radboud University Nijmegen,127,35.7,17713,13,10,58,2013
Free University of Berlin,128,53.1,33062,39.3,20,58,2013
University of Copenhagen,130,42.2,27545,4.1,19,67,2013
University of Southampton,130,37.9,20925,13.5,29,53,2013
University of Geneva,133,36.2,15668,15,39,61,2013
Indiana University,134,48.3,62468,13.6,13,53,2013
National Taiwan University,134,56.4,31891,11.9,7,39,2013
University of Utah,134,43.3,25674,16.9,9,45,2013
Hebrew University of Jerusalem,137,48.8,17612,10.7,5,55,2013
Tohoku University,137,57.7,17200,5,7,25,2013
University of Glasgow,139,37.3,22616,16,29,57,2013
KTH Royal Institute of Technology,140,47.5,12062,14.6,21,30,2013
VU University Amsterdam,140,40.5,23280,16.3,6,56,2013
University of Basel,142,37.1,12551,17.3,24,54,2013
University of Leeds,142,41.5,27703,14.7,21,58,2013
University of Freiburg,144,48.3,26467,31.2,16,52,2013
Lancaster University,145,37.7,11512,14.9,33,52,2013
Queen Mary University of London,145,33.1,14260,14,40,52,2013
Osaka University,147,59.5,23144,7.8,9,31,2013
Arizona State University,148,38.4,83236,29.9,9,50,2013
Technical University of Denmark,149,37.9,9990,5,18,27,2013
Boston College,150,34.5,13216,17.4,19,54,2013
Karlsruhe Institute of Technology,151,46.3,25294,24.6,16,26,2013
University of Bern,151,43,14708,22.5,14,54,2013
University of Exeter,153,33.2,17755,18.8,28,54,2013
RWTH Aachen University,154,45.3,37917,27.6,16,31,2013
"University of California, Riverside",154,29.1,20626,22,12,51,2013
Texas A&M University,156,46.4,50657,21.4,9,47,2013
Yeshiva University,156,51.7,6753,5.5,7,53,2013
University of Birmingham,158,44.8,25295,16.4,23,54,2013
University of S瀬o Paulo,158,63,81402,14.6,4,48,2013
University of Auckland,161,34,29787,18.9,28,54,2013
Stony Brook University,162,38.8,21908,10.9,24,50,2013
University of Vienna,162,44.3,34651,20.5,25,67,2013
